Источник,Год публикации,Автор,Страна,Место,Ссылка,Примерные координаты,Широта ,Долгота,
"Enumeratio coleopterorum agri Monacensis, vol. 1-2",1829,Johannes Gistel,Германия,г. Мюнхен,https://books.google.ru/books?id=P9FAAAAAcAAJ&dq=trachys+minutus&lr=&hl=ru&source=gbs_navlinks_s,"48.1333, 11.5667",48.1333,11.5667,
Výsledky Entomologických dnů 2005 – brouci (Coleoptera): Příspěvek k poznání fauny Brd a Středního Povltaví,2006,Stanislav Urban et al.,Чехия,Богемия: Střední Povltaví region,https://www.entospol.cz/wp-content/uploads/2019/02/ed2005_0.pdf,"49.7000, 14.4000",49.7000,14.4000,
,,,,Богемия: Brdy hills,,"49.7500, 13.8333",49.7500,13.8333,
Sammelexkursion ostsächsischer Koleopterologen 2021,2021,"Olaf Jäger, Jörg Lorenz",Германия,Ричен,https://www.lorenzjoerg.de/ffh/2021_zwoelfeKaeferExi_TeichgebietNiederspree.pdf,"51.7500, 9.7333",51.7500,9.7333,
Aktivita chrobákov (Coleoptera) na lokalite Boboty v NP Malá Fatra študovaná pomocou Malaiseho pasce v roku 1996,1998,"Oto Majzlan, Ivo Rychlík, Ladislav Korbel",Словакия,Бобот: национальный парк Малая Фатра,https://www.researchgate.net/profile/Martin-Kornan-2/publication/350637094_Vyskum_a_ochrana_Krivanskej_FatryResearch_and_conservation_of_Krivanska_Fatra_Mts/links/606b176ca6fdccad3f7524a6/Vyskum-a-ochrana-Krivanskej-Fatry-Research-and-conservation-of-Krivanska-Fatra-Mts.pdf#page=67,"49.1167, 19.0000",49.1167,19.0000,
Entomologische Kartierung in der „Pfarrwiese“ und in einem Sandabbruch in Hofstätten,2011,T. Frieß et al.,Австрия,Hofstätten,https://www.holzcol.at/wp-content/uploads/2018/05/hofstE4tten_2010_bericht_gesamt.pdf,"48.0333, 15.5000",48.0333,15.5000,
Die Käfer von Hamburg und Umgegend: Ein Beitrag zur nordalbingischen Insektenfauna,1862,"Carl H. Preller, Otto Meissner",Германия,г. Гамбург,https://books.google.com/books?hl=ru&lr=&id=cQ9DAAAAYAAJ&oi=fnd&pg=PA1&dq=Die+K%C3%A4fer+von+Hamburg+und+Umgegend:+Ein+Beitrag+zur+nordalbingischen+Insektenfauna&ots=RN4lrj4NFF&sig=WtY_caBpRSMUhgcfTKJCXBUYKjo,"53.5500, 10.0000",53.5500,10.2000,
Насекомые (Insecta) Зоологического музея Башкирского государственного университета,1976,В.Ф. Хабибуллин,Россия ,Башкирский государственный природный заповедник,https://elibrary.ru/item.asp?id=30794829,"53.3453, 57.7778",53.3453,57.7778,
Zur Käferfauna (Col.) eines Ton- und Sandabbaugebietes im Niederrheinischen Tiefland,1996,Peter E. Stüben,Германия,Равнина Нижнего Рейна,http://www.koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/STUEBEN%20WENZEL%201996%20Kaeferfauna%20Holter%20Heide.pdf,"51.5358, 6.3603",51.5358,6.3603,
Ergänzungsantrag zur Ausweisung eines Naturschutzgebietes im Lampertheimer Wald,1995,R. Darmstadt et al.,Германия,лес Лампертхайм,http://www.bio-nica.info/Biblioteca/Nolte1995ColeopteraDarmstadtAlemania.pdf,"49.6186, 8.5392",49.6186,8.5392,
"Kinzigaue Zoologische Untersuchungen 1999-2001, Teil 2",2014,Frank Köhler,Германия,заповедник Кинцигауэ,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj6j9O2kuuTAxX-FBAIHefoD04QFnoECBkQAQ&url=https%3A%2F%2Fwww.researchgate.net%2Fpublication%2F267651825_Kinzigaue_Zoologische_Untersuchungen_1999-2001_Teil_2&usg=AOvVaw29D6DKIRILgp8o2Pkw0BCk&opi=89978449,"50.1800, 9.0400",50.1800,9.0400,
"Artenbericht 2007 Tiere, Pflanzen und Pilze im Nationalpark Hainich",2007,Frank Köhler,Германия,Национальный парк Хайних,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwisuMy8kuuTAxXUAxAIHWIINrkQFnoECB4QAQ&url=https%3A%2F%2Fwww.yumpu.com%2Fde%2Fdocument%2Fview%2F41105148%2Fartenbericht-2007-nationalpark-hainich&usg=AOvVaw0gikw6icPbqN5i5_POrB0P&opi=89978449,"51.0967, 10.3908",51.0967,10.3908,
Die Westerwaldexkursion der Arbeitsgemeinschaft Rheinischer Koleopterologen 1999 (Coleoptera),2000,"Heinz Baumann, Frank Köhler",Германия,Вестервальд,https://www.koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/BAUMANN%20KOEHLER%202000%20Kaefer%20Westerwald%20Exkursion%201999.pdf,"50.6667, 7.8333",50.6667,7.8333,
Brouci (Coleoptera) Významného krajinného prvku Motýlí step Pichce u Příbrami,2019,"Stanislav Urban, Ondřej Sedláček, David Sommer",Чехия,заповедник Motýli Step Pichce,https://www.researchgate.net/profile/David-Sommer-8/publication/335456115_Brouci_Coleoptera_Vyznamneho_krajinneho_prvku_Motyli_step_Pichce_u_Pribrami_Beetles_Coleoptera_of_the_significant_landscape_component_Motyli_step_Pichce_near_Pribram/links/5d66e65b299bf11adf297cf6/Brouci-Coleoptera-Vyznamneho-krajinneho-prvku-Motyli-step-Pichce-u-Pribrami-Beetles-Coleoptera-of-the-significant-landscape-component-Motyli-step-Pichce-near-Pribram.pdf,"49.8647, 15.5206",49.8647,15.5206,
Материалы к познанию колеоптерофауны государственного природного заповедника «Присурский». Сообщение 5,2016,Л.В. Егоров,Россия ,Респ. Чувашия: Государственный природный заповедник «Присурский» ,https://www.zin.ru/Animalia/Coleoptera//rus/legpdf23.htm,"55.0253, 46.7572",55.0253,46.7572,
"Verslag van de 149e zomervergadering van de Nederlandse Entomologische Vereniging, 3-5 juni 1994, te Kreielt bij Wintelre ",1995,P. Koomen,Нидерланды,заповедник Strabrechtse Heide,https://natuurtijdschriften.nl/pub/1012278/EB1995055012004.pdf,"51.3167, 5.9333",51.3167,5.9333,
,,,,заповедник Malpiebeemde,,"51.3167, 5.9333",51.3167,5.9333,
,,,,заповедник Reuselse Moeren,,"51.3167, 5.9333",51.3167,5.9333,
Chrząszcze (Insecta: Coleoptera) rezerwatu przyrody „Czarci Staw” koło Złotowa,2011,"Rafał Ruta, Andrzej Melke, Marek Przewoźny",Польша,заповедник Czarci Staw,https://kp.org.pl/pdf/pp/pdf2/pp_XXII_2011_2_RUTA.pdf,"53.3333, 17.0000",53.3333,17.0000,
Kevers van de Meinweg (Coleoptera),2013,Ed Colijn et al.,Нидерланды,национальный парк Meinweg,https://natuurtijdschriften.nl/pub/1003117/NAHM2013102010012.pdf,"51.1656, 6.1031",51.1656,6.1031,
Seznam floristických a faunistických nálezů z terénní exkurze do CHKO Třeboňsko (Bioléto 2010),2010,Jan Rolda Roleček et al.,Чехия,г. Тршебонь,https://www.sci.muni.cz/zoolecol/bioweb/materialy/Trebonsko10zprava.pdf,"49.0433, 14.7500",49.0433,14.7500,
Brouci (Coleoptera) významného krajinného prvku Lada pod Květnou u Příbrami a blízkého okolí,2020,"Ondřej Sedláček, Stanislav Urban, David Sommer",Чехия,г. Пршибрам: Lada pod Květnou,https://www.academia.edu/download/65040437/Sedlacek_etal_2020_Brouci_Coleoptera_vyznamneho_krajinneho_prvku_Lada_pod_Kvetnou_u_Pribrami_a_blizkeho_okoli.pdf,"49.6833, 14.0167",49.6833,14.0167,
Catalogo dei Coleopteri della Lombardia,1844,"Antonio Villa, Giovanni Battista Villa",Италия,Ломбардия,https://books.google.com/books?hl=ru&lr=&id=I_NhAAAAcAAJ&oi=fnd&pg=PA5&dq=Catalogo+dei+Coleopteri+della+Lombardia&ots=2ooTHpq2h4&sig=1EXF9E5YIuuAEmkx8swEgD2gfao,"45.7461, 8.7039",45.7461,8.7039,
Die Käferfauna (Coleoptera) des Naturschutzgebietes Gronenborner Teiche in Leverkusen,2010,"Frank Köhler, Helmut Kinkler",Германия,г. Леверкузен: заповедник Gronenborner Teiche,http://www.koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/KOEHLER%20KINKLER%202010%20Kaeferfauna%20Gronenborner%20Teiche.pdf,"51.0667, 6.9833",51.0667,6.9833,
Die Kafer cler Mosigkauer Haide,1887,K. Schteiber,Германия,г. Дессау: Mosigkauer Haide,https://scholar.archive.org/work/2b44hmwsovamzednebf33fnc5u/access/ia_file/crossref-pre-1909-scholarly-works/10.1002%252Fmmnd.18710150203.zip/10.1002%252Fmmnd.18880310219.pdf,"51.8000, 12.1500",51.8000,12.1500,
Entomofauna van Meinweg en Roerdal - verslag van de 157e zomerbijeenkomst te Herkenbosch ,2003,"Oscar Vorst, Jan G.M. Cuppen",Нидерланды,Roerdalen: Herkenbosch,https://natuurtijdschriften.nl/pub/1011949,"51.15489, 6.06601",51.15489,6.06601,
東みよし町「旧三加茂町」の甲虫,2013,Масатака Ёсида и др.,Япония,Хигасимиёси ,https://library.bunmori.tokushima.jp/digital/webkiyou/59/047-056.pdf,"34.033, 133.933",34.033,133.933,
Materiały do znajomości chrząszczy (Insecta: Coleoptera) rezerwatu „Mazury” w Puszczy Boreckiej,2021,Karol Komosińsk,Польша,Puszcza Borecka: заповедник “Mazury”,https://www.researchgate.net/profile/Czeslaw-Gren/publication/400093017_MATERIALY_DO_ZNAJOMOSCI_CHRZASZCZY_INSECTA_COLEOPTERA_REZERWATU_MAZURY_W_PUSZCZY_BORECKIEJ_Materials_to_the_knowledge_on_beetles_Insecta_Coleoptera_of_Mazury_nature_reserve_in_Puszcza_Borecka_forest/links/69789eff153d64061ee9b638/MATERIALY-DO-ZNAJOMOSCI-CHRZASZCZY-INSECTA-COLEOPTERA-REZERWATU-MAZURY-W-PUSZCZY-BORECKIEJ-Materials-to-the-knowledge-on-beetles-Insecta-Coleoptera-of-Mazury-nature-reserve-in-Puszcza-Borecka-forest.pdf,"54.13333, 22.11667",54.13333,22.11667,
Příspěvek k poznání brouků (Coleoptera) významného krajinného prvku Mateřídoušková step Brod u Příbrami (střední Čechy),2021,"Ondřej Sedláček, Stanislav Urban, David Sommer",Чехия,г. Пршибрам: Mateřídoušková step Brod,https://www.researchgate.net/profile/David-Sommer-8/publication/357621101_Prispevek_k_poznani_brouku_Coleoptera_vyznamneho_krajinneho_prvku_Materidouskova_step_Brod_u_Pribrami_stredni_Cechy_Contribution_to_the_knowledge_of_the_beetles_Coleoptera_of_the_Materidouskova_step_B/links/61d6ad02da5d105e55208f4c/Prispevek-k-poznani-brouku-Coleoptera-vyznamneho-krajinneho-prvku-Materidouskova-step-Brod-u-Pribrami-stredni-Cechy-Contribution-to-the-knowledge-of-the-beetles-Coleoptera-of-the-Materidouskova-step-B.pdf,"49.6079, 13.3646",49.6079,13.3646,
Le cœur du vignoble du Jurançon (Pyrénées-Atlantiques) : des coteaux accueillants pour la faune des Coléoptères saproxyliques,2013,"Clément Gracher, Leticia Collado, Maxime Cosso",Франция,Жюрансон,https://www.researchgate.net/profile/Clement-Grancher/publication/307550951_Le_coeur_du_vignoble_du_Jurancon_Pyrenees-Atlantiques_des_coteaux_accueillants_pour_la_faune_des_Coleopteres_saproxyliques/links/57c82a3c08ae9d640480c405/Le-coeur-du-vignoble-du-Jurancon-Pyrenees-Atlantiques-des-coteaux-accueillants-pour-la-faune-des-Coleopteres-saproxyliques.pdf,"43.287, -0.385",43.287,-0.385,
Les boisements matures des zones humides du lac d’Uzein (Pyrénées-Atlantiques) : un refuge pour la faune des Coléoptères saproxyliques,2012,"Clément Grancher, Leticia Collado, David Soulet",Франция,окресности оз. Узэн,https://www.researchgate.net/profile/Clement-Grancher/publication/307547682_Les_boisements_matures_des_zones_humides_du_lac_d'Uzein_Pyrenees-Atlantiques_un_refuge_pour_la_faune_des_Coleopteres_saproxyliques/links/57c8276208ae9d640480c20f/Les-boisements-matures-des-zones-humides-du-lac-dUzein-Pyrenees-Atlantiques-un-refuge-pour-la-faune-des-Coleopteres-saproxyliques.pdf,"44.833, 2.767",44.833,2.767,
Chrząszcze (Insecta: Coleoptera) Gryżyńskiego Parku Krajobrazowego,2016,"Rafał Ruta, Ryszard Orzechowski, Oleg Aleksandrowicz",Польша,Ландшафтный парк Грыжина,http://kp.org.pl/pdf/pp/pdf2/pp_xxvii_2_%20ruta.pdf,"52.18333, 15.28333",52.18333,15.28333,
"Влияние речных разливов на формирование сообществ хортобионтных жесткокрылых (Coleoptera) пойменных лугов юго-востока Мещерской низменности (Рязанская область, Россия)",2024,"А.С. Сажнев , И.Ю. Лычковская",Россия,Рязанская область: Мещерская низменность: Окский заповедник: окр. старица Киселёв затон,https://cyberleninka.ru/article/n/vliyanie-rechnyh-razlivov-na-formirovanie-soobschestv-hortobiontnyh-zhestkokrylyh-coleoptera-poymennyh-lugov-yugo-vostoka,"54.732, 40.915",54.732,40.915,
Coleotterofauna del bosco di Policoro (Matera) (Coleoptera),1984,"Fernando Angelini, Fernando Montemurro",Италия,Лес Поликоро,https://escholarship.org/content/qt5221533b/qt5221533b.pdf,"40.21402, 16.67573",40.21402,16.67573,
Příspěvek k poznání vegetace a fauny brouků 10 let po provedené revitalizaci části potoka Kněhyně (k. ú. Prostřední Bečva) v CHKO Beskydy ,2015,"Marek Banaš, Jiří Stanovský, Václav Dvořák, Miroslav Zeidler",Чехия,ОПТ Бески́ды: река Kněhyně,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjp49Sws-yTAxUhAhAIHd91BwoQFnoECBgQAQ&url=https%3A%2F%2Faco.muzeumvalassko.cz%2Fartkey%2Faco-201501-0008_prispevek-k-poznani-vegetace-a-fauny-brouku-10-let-po-provedene-revitalizaci-casti-potoka-knehyne-k-u-prostr.php%3Fl%3Dcz&usg=AOvVaw3nnipw9JioDIpffvbeKRht&opi=89978449,"49.483, 18.317",49.483,18.317,
Vybrané skupiny bezobratlých přírodní rezervace Zlín na Plzeňsku,2022,"Ivana Hradská, Jan Walter, Michal Perlík",Чехия,Пльзенский край - заповедник Злин,https://www.researchgate.net/profile/Jan-Walter-3/publication/367479530_Vybrane_skupiny_bezobratlych_prirodni_rezervace_Zlin_na_Plzensku_Selected_groups_of_invertebrates_of_the_Zlin_Nature_Reserve_in_Pilsen_Region/links/677f560f18faf13f0c3ce12c/Vybrane-skupiny-bezobratlych-prirodni-rezervace-Zlin-na-Plzensku-Selected-groups-of-invertebrates-of-the-Zlin-Nature-Reserve-in-Pilsen-Region.pdf,"49.6079, 13.3646",49.6079,13.3646,
Zur Käferfauna (Coleoptera) des Bausenberges in der Vulkaneifel Bericht zur Exkursion der Arbeitsgemeinschaft  Rheinischer Koleopterologen am 16. Mai 2009 ,2013,"Frank Köhler, Jonas Köhler, Waltraud Fritz-Köhler",Германия,Вульканайфель - Bausenberges,https://koleopterologie.de/arbeitsgemeinschaft/publikationen/pdf-mitt/KOEHLER%20et%20al%202013%20Bausenberg.pdf,"50.4669, 7.22254",50.4669,7.22254,
Жуки заповедника «Басеги». Часть 1,2019,"В. О. Козьминых, Д. В. Наумкин, П. Ю. Санников",Россия,Пермский край: Горнозаводский р-н: заповедник Басеги,https://cyberleninka.ru/article/n/zhuki-zapovednika-basegi-chast-1,"58.05, 58.03333",58.05,58.03333,
Synthèse des inventaires biologiques des 24 carrières du Life in Quarries - Version finale ,2019,M. Seleck et al.,Бельгия,Валлонь,https://orbi.uliege.be/bitstream/2268/235590/1/2019_04_16_Rapport%20A3_24%20sites_Final_v_Diffusable.pdf,"50.5, 4.75",50.5,4.75,
Observations faunistiques sur la région de Crémieu (Isère) à l’occasion de l’excursion du dimanche 28 mai 1933,1993,E. Roman,Франция,Кремьё (Изер),https://www.persee.fr/doc/linly_1160-6401_1935_num_78_1_14752,"45.733, 5.267",45.733,5.267,
Zur Käferfauna des Märchenwaldes im Stadtforst Einbeck,2017,R. Theunert,Германия,Мэрхенвальд Айнбек,https://maerchenwald-einbeck.de/uploads/Download-Verzeichnis/Berichte/2017_SCHMIDT-u-THEUNERT--Kaeferfauna-des-Maerchenwaldes.pdf,"51.833, 9.867",51.833,9.867,
Материалы к познанию колеоптерофауны Мордовского государственного природного заповедника. Сообщение 5,2016,"Л.В. Егоров, А.Б. Ручин, Г.Б. Семишин",Россия,Мордовский государственный заповедник,https://cyberleninka.ru/article/n/materialy-k-poznaniyu-koleopterofauny-mordovskogo-gosudarstvennogo-prirodnogo-zapovednika-soobschenie-5,"54.821, 43.345",54.821,43.345,
Catalogue des Buprestides de la région Lyonnaise,1949,Léon Schaefer,Франция,Лион,https://www.persee.fr/doc/linly_0366-1326_1949_num_18_4_8541,"45.764, 4.835",45.764,4.835,
"Ergebnisse der Exkursion der Arbeitsgemeinschaft südwestdeutscher Koleopterologen 2007 nach Merklingen, Berghülen und ins Blauta",2011,"Thomas Gutknecht, Tamm",Германия,Мерклинген,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjplfiCteyTAxV_IRAIHWHtMxQQFnoECBgQAQ&url=https%3A%2F%2Fwww.zobodat.at%2Fpdf%2FMitt-Ent-Ver-Stuttgart_46_2011_0051-0097.pdf&usg=AOvVaw0Y0PXFxB6LT9FgEEuZTVhz&opi=89978449,"48.5086, 9.7542",48.5086,9.7542,
,,,,Блауталь,,"48.414, 9.789",48.414,9.789,
,,,,Бергюлен ,,"48.414, 9.789",48.414,9.789,
Coleotterofauna dell'altipiano della Sila.,1991,Fernando Angelini,Италия,Калабрия: плато Сила,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwi25fWOteyTAxXkT1UIHUQnAe8QFnoECBkQAQ&url=https%3A%2F%2Fwww.researchgate.net%2Fpublication%2F259868376_Coleotterofauna_dell%27altipiano_della_Sila_Mem_Soc_ent_ital_70_1_171-254_1991&usg=AOvVaw0ToCYZggMZDhYvRps1vXZI&opi=89978449,"39.367, 16.500",39.367,16.500,
Gesamtüberblick über die Gebietsfauna des Naturwaldreservats Kinzigaue (Hessen) und ihre Bedeutung für den Naturschutz.Untersuchungszeitraum 1999–2001,2001,"Theo Blick, Wolfgang H. O. Dorow",Германия,Гессен: Лесной заповедник Кинцигауэ,http://www.callistus.de/pdf_theo/Blick_110_&Dorow_NWRHessen13_NaturschutzGesamtliste.pdf,"50.200, 8.950",50.200,8.950,
"Zeitschrift für die Gesammten Naturwissenschaften, vol. 48",1876,A. Kellner,Германия,Тюрингия,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjhtdKwteyTAxWJTlUIHTf7LOQQFnoECBkQAQ&url=https%3A%2F%2Fbooks.google.cm%2Fbooks%3Fid%3DD0zPAAAAMAAJ%26printsec%3Dfrontcover%26hl%3Dfr%26source%3Dgbs_book_other_versions_r%26cad%3D4&usg=AOvVaw3zXWZ-3MiMfpvJIVjawPUp&opi=89978449,"50.850, 11.350",50.850,11.350,
Assemblée mensuelle du 1 décembre 1976. Additions au Catalogue des Coléoptères de Belgique,1976,"M. A. Allaer, M. G. Boosten",Бельгия,Bernissart,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiogt28teyTAxW-HBAIHWGsAGIQFnoECCAQAQ&url=https%3A%2F%2Fbiblio.naturalsciences.be%2Fassociated_publications%2Fsociete-royale-belge-dentomologie-koninklijke-belgische-vereniging-voor-entomologie-1%2Fsrbe-112-1976%2Fboosten-g_bull_112-1976_217-218.pdf&usg=AOvVaw0Smmq3AdmWEhHfs1IYIbsv&opi=89978449,"50.433, 3.650",50.433,3.650,
,,,,Nismes,,"50.066, 4.550",50.066,4.550,
,,,,Dourbes,,"50.100, 4.583",50.100,4.583,
,,,,Virton,,"49.567, 5.533",49.567,5.533,
,,,,Fontenoille,,"49.583, 5.233",49.583,5.233,
,,,,Torgny,,"49.500, 5.483",49.500,5.483,
,,,,Cul-des-Sarts,,"50.017, 4.483",50.017,4.483,
,,,,Muno,,"49.617, 5.283",49.617,5.283,
Checklists of Insects of the City of Plovdiv. Part 1: “Otdih i kultura” Park,2018,"Desislava N. Arnaudova, Dimitar N. Bechev",Болгария,г. Пловдив: Otdih i kultura,http://web.uni-plovdiv.bg/bechev/Bechev_pdfs/Arnaudova_Bechev_2018_Plovdiv_Insects.pdf,"42.135, 24.745",42.135,24.745,
"A Survey of Jewel Beetles (Coleoptera, Buprestidae) in the Southern Area of Taiwan",2015,"Yen-Chiu Lan, Sadahiro Ohmomo",Китайская Республика (Тайвань),г. Zhiben,http://coleoptera.sakura.ne.jp/ElytraNS/5-1_97.pdf,"22.70683, 121.04927",22.70683,121.04927,
,,,,г. Taitung,,"22.758301, 121.144380",22.758301,121.144380,
,,,,гора Nanren Shan,,"22.087444, 120.853611",22.087444,120.853611,
,,,,Manzhou,,"22.050000, 120.850000",22.050000,120.850000,
,,,,г. Pingtung,,"22.682822, 120.491688",22.682822,120.491688,
,,,,дер. Qimei,,"23.504400, 121.453100",23.504400,121.453100,
,,,,г. Hualien,,"23.988981, 121.601460",23.988981,121.601460,
"Die Käferfauna des deutschen Gailthals, verglichen mit der des Rosenthales, Vellachthales und der Steiner Alpen",1866,David Pacher,Австрия,Розенталь,"https://books.google.com/books?hl=ru&lr=&id=YDHqQbBzTx8C&oi=fnd&pg=PA1&dq=Die+K%C3%A4ferfauna+des+deutschen+Gailthals,+verglichen+mit+der+des+Rosenthales,+Vellachthales+und+der+Steiner+Alpen&ots=vWnsVoqwC6&sig=CNmUHZHG5nIrKhW9xr6tU7GutP8","47.25, 12.25",47.25,12.25,
,,,,Феллахталь,,"46.633333, 13.833333",46.633333,13.833333,
,,,,Альпен,,"46.6716, 14.0353",46.6716,14.0353,
,,,,Штайнер ,,"47.41743, 14.54023",47.41743,14.54023,
Insect Fauna of Is. Ulleung-do (Prov. Gyeongsangbuk-do) in Korea,2012,"Heon-Myoung Lim, Dae-Hyun Lee",Корея,Уллындо: Seomyeon,https://www.sciencedirect.com/science/article/pii/S1976864814601080,"37.500, 130.867",37.500,130.867,
Příspěvek k poznání fauny brouků (Coleoptera) Jelšavského krasu (Slovensko),2014,Stanislav Benedikt,Словакия,Jelšavského krasu,https://entolisty.cz/wp-content/uploads/2021/07/05-07-Benedikt.pdf,"48.650, 20.283",48.650,20.283,
Die Käfer der Holmer Teiche im Naturschutzgebiet Lüneburger Heide,2024,Wolfgang Schacht,Германия,Заповедник Люнебургская пустошь,https://www.researchgate.net/profile/Wolfgang-Schacht-2/publication/381519411_Die_Kafer_der_Holmer_Teiche_im_Naturschutzgebiet_Luneburger_Heide/links/66727e2685a4ee7261d11fb4/Die-Kaefer-der-Holmer-Teiche-im-Naturschutzgebiet-Lueneburger-Heide.pdf,"53.250, 10.000",53.250,10.000,
Danmarks Buprestes og Elateres,1865,Jørgen Matthias Christian Schiødte,Дания,Лолланд,https://books.google.com/books?hl=ru&lr=&id=7-InAAAAYAAJ&oi=fnd&pg=PA1&dq=Danmarks+Buprestes+og+Elateres&ots=RthRdBMb9e&sig=9hqUOmKlcQMVQORmoWd7g4sKNg8,"54.769, 11.424",54.769,11.424,
,,,,Lind,,"50.490, 6.924",50.490,6.924,
,,,,Hassel,,"47.654, 7.898",47.654,7.898,
,,,,Фельстер,,"54.800, 11.733",54.800,11.733,
Un nouveau site entomologique remarquable en Saône-et-Loire : le bois de Rampon à Verzé,2010,Roger Vincent,Франция,Saône-et-Loire,https://www.academia.edu/download/77096998/lentomologiste_2010_66_2.pdf#page=11,"46.667, 4.500",46.667,4.500,
"Vybrané skupiny hmyzu (Coleoptera, Heteroptera, Blattodea, Ensifera et Caelifera) na území NPR Čachtický hradný vrch (CHKO Malé Karpaty)",2000,"Oto Majzlan, Oľga Štepanovičová, Peter J. Fedor",Словакия,Заповедник  Čachtický hradný vrch,http://www.ffs.sk/pdf/FFS-05-19-Majzlan-et-al-2000.pdf,"48.720, 17.762",48.720,17.762,
Výsledky faunisticko-ekologického průzkumu fauny brouků (Coleoptera) kamenolomu Rožmitál a jeho okolí (CHKO Broumovsko). ,2014,"Miroslav Mikát, Alois Hamet",Чехия,Заповедник Rožmitál quarry,http://www.tkv.cz/pdf/periodika/actareginaehradecensis/34_2014/069_099.pdf,"49.603, 13.875",49.603,13.875,
Fundmitteilungen „diverser Käfer“ sowie Synopsis zur Käferfauna (Coleoptera) des EVSA-Projektes in der nordwestlichen Altmark (Sachsen Anhalt),2024,Wolfgang Bäse et al.,Германия,Саксония-Анхальт: Альтмарк,https://www.researchgate.net/profile/Daniel-Rolke/publication/388415765_Fundmitteilungen_diverser_Kafer_sowie_Synopsis_zur_Kaferfauna_Coleoptera_des_EVSA-Projektes_in_der_nordwestlichen_Altmark_Sachsen-Anhalt/links/6798aab94c479b26c9bd1eba/Fundmitteilungen-diverser-Kaefer-sowie-Synopsis-zur-Kaeferfauna-Coleoptera-des-EVSA-Projektes-in-der-nordwestlichen-Altmark-Sachsen-Anhalt.pdf,"52.750, 11.500",52.750,11.500,
Adatok a Körös-Maros Nemzeti Park Igazgatóság illetékességi területének rovarfaunájához,2000,"Harmos Krisztián, Lantos István, Oszonics István",Венгрия,Баттонья,http://www.nimfea.hu/kiadvanyaink/puszta/harmosk%20es%20tarsai%20-%20k%F6r%F6s%20maros%20rovar%20-%20200.pdf,"46.180, 18.935",46.180,18.935,
"Suite des Coléoptères recueillis dans mon excursion en Allemagne en juin et juillet 1880, vol. 4",1881,Alfred Preudhomme de Borre,Германия,г. Шнееберг,"https://books.google.com/books?hl=ru&lr=&id=rNYnAAAAYAAJ&oi=fnd&pg=PP3&dq=Suite+des+Col%C3%A9opt%C3%A8res+recueillis+dans+mon+excursion+en+Allemagne+en+juin+et+juillet+1880,+vol.+4&ots=U8diW_ZM5O&sig=ljm7NCDcGEqWPtmBNuhXp59sYGM","50.049, 11.861",50.049,11.861,
"Ergebnisse mehrjähriger Beobachtungen über die periodischen Erscheinungen in der Flora und Fauna Wiens, vol. 24",1865,Karl Fritsch,Австрия,г. Вена,"https://books.google.com/books?hl=ru&lr=&id=620_AAAAcAAJ&oi=fnd&pg=PA11&dq=Ergebnisse+mehrj%C3%A4hriger+Beobachtungen+%C3%BCber+die+periodischen+Erscheinungen+in+der+Flora+und+Fauna+Wiens,+vol.+24&ots=cIuDVrT8k4&sig=fqZnIh361OX1vAocvc4RrGZA1Y8","48.208, 16.372",48.208,16.372,
Waloryzacja przyrodnicza gminy Tuczno (Pojezierze Zachodniopomorskie) w oparciu o wyniki wstępnych badań nad chrząszczami (Insecta'. Coleoptera),2004,"Jerzy M. Gutowski, Rafał Ruta",Польша,гмина Тучно,https://rcin.org.pl/miiz/dlibra/publication/edition/235499,"53.166667, 16.066667",53.166667,16.066667,
Bilan d’un suivi de trois mois de la population des Coléoptères sur deux terrasses alluviales de Haute-Normandie : Tosny et Courcelles-sur-Seine (27),2015,Jacques Grancher,Франция,Верхняя Нормандия: Courcelles-sur-Seine ,https://www.asehn.fr/wp-content/uploads/2019/04/GRANCHER_Suivi-terrasses-alluviales.pdf,"49.183333, 1.359444",49.183333,1.359444,
Die Käfer der Umgegend Aschaffenburgs: ein Beitrag zu den Lokalfaunen Bayerns,1854,Georg Oechsner,Германия,Бавария: г. Ашаффенбург,https://books.google.com/books?hl=ru&lr=&id=KPZEAAAAcAAJ&oi=fnd&pg=PA1&dq=Die+K%C3%A4fer+der+Umgegend+Aschaffenburgs:+ein+Beitrag+zu+den+Lokalfaunen+Bayerns&ots=pZwhmwrTvv&sig=ZqRcYoAkX-ToH9zb0alk7FWRths,"49.966667, 9.150000",49.966667,9.150000,
